nearest_station_id,year,T_oa_celsius,RH_oa_pct,P_oa_pa
GHCND:USW00003017,2021,19.27777777777778,60.0,101325.0
GHCND:USW00003017,2022,18.88888888888889,60.0,101325.0
GHCND:USW00003017,2023,18.000000000000004,60.0,101325.0
GHCND:USW00003017,2024,20.11111111111111,60.0,101325.0
GHCND:USW00003804,2021,18.88888888888889,60.0,101325.0
GHCND:USW00003804,2022,18.22222222222222,60.0,101325.0
GHCND:USW00003804,2023,19.27777777777778,60.0,101325.0
GHCND:USW00003804,2024,20.27777777777778,60.0,101325.0
GHCND:USW00003810,2021,21.722222222222218,60.0,101325.0
GHCND:USW00003810,2022,21.38888888888889,60.0,101325.0
GHCND:USW00003810,2023,21.944444444444443,60.0,101325.0
GHCND:USW00003810,2024,22.11111111111111,60.0,101325.0
GHCND:USW00003811,2021,21.722222222222218,60.0,101325.0
GHCND:USW00003811,2022,21.944444444444443,60.0,101325.0
GHCND:USW00003811,2023,22.666666666666668,60.0,101325.0
GHCND:USW00003811,2024,23.388888888888886,60.0,101325.0
GHCND:USW00003812,2021,20.11111111111111,60.0,101325.0
GHCND:USW00003812,2022,19.61111111111111,60.0,101325.0
GHCND:USW00003812,2023,20.833333333333332,60.0,101325.0
GHCND:USW00003812,2024,21.055555555555557,60.0,101325.0
GHCND:USW00003813,2021,25.444444444444443,60.0,101325.0
GHCND:USW00003813,2022,25.72222222222222,60.0,101325.0
GHCND:USW00003813,2023,25.944444444444443,60.0,101325.0
GHCND:USW00003813,2024,25.555555555555557,60.0,101325.0
GHCND:USW00003816,2021,20.944444444444443,60.0,101325.0
GHCND:USW00003816,2022,21.055555555555557,60.0,101325.0
GHCND:USW00003816,2023,22.055555555555557,60.0,101325.0
GHCND:USW00003816,2024,22.38888888888889,60.0,101325.0
GHCND:USW00003820,2021,25.833333333333332,60.0,101325.0
GHCND:USW00003820,2022,25.11111111111111,60.0,101325.0
GHCND:USW00003820,2023,24.944444444444446,60.0,101325.0
GHCND:USW00003822,2021,25.38888888888889,60.0,101325.0
GHCND:USW00003822,2022,25.72222222222222,60.0,101325.0
GHCND:USW00003822,2023,26.27777777777778,60.0,101325.0
GHCND:USW00003822,2024,26.27777777777778,60.0,101325.0
GHCND:USW00003847,2021,18.77777777777778,60.0,101325.0
GHCND:USW00003847,2022,18.72222222222222,60.0,101325.0
GHCND:USW00003847,2023,19.444444444444443,60.0,101325.0
GHCND:USW00003847,2024,19.833333333333332,60.0,101325.0
GHCND:USW00003849,2021,19.72222222222222,60.0,101325.0
GHCND:USW00003849,2022,19.833333333333332,60.0,101325.0
GHCND:USW00003849,2023,20.611111111111107,60.0,101325.0
GHCND:USW00003849,2024,20.777777777777782,60.0,101325.0
GHCND:USW00003856,2021,22.555555555555554,60.0,101325.0
GHCND:USW00003856,2022,23.055555555555557,60.0,101325.0
GHCND:USW00003856,2023,23.833333333333336,60.0,101325.0
GHCND:USW00003856,2024,24.166666666666668,60.0,101325.0
GHCND:USW00003860,2021,19.27777777777778,60.0,101325.0
GHCND:USW00003860,2022,19.333333333333332,60.0,101325.0
GHCND:USW00003860,2023,20.555555555555557,60.0,101325.0
GHCND:USW00003860,2024,21.611111111111114,60.0,101325.0
GHCND:USW00003870,2021,22.555555555555554,60.0,101325.0
GHCND:USW00003870,2022,22.444444444444446,60.0,101325.0
GHCND:USW00003870,2023,23.055555555555557,60.0,101325.0
GHCND:USW00003870,2024,23.333333333333332,60.0,101325.0
GHCND:USW00003894,2021,20.888888888888886,60.0,101325.0
GHCND:USW00003894,2022,21.77777777777778,60.0,101325.0
GHCND:USW00003901,2021,24.777777777777775,60.0,101325.0
GHCND:USW00003901,2022,26.0,60.0,101325.0
GHCND:USW00003901,2024,26.333333333333336,60.0,101325.0
GHCND:USW00003904,2021,26.722222222222218,60.0,101325.0
GHCND:USW00003904,2022,27.77777777777778,60.0,101325.0
GHCND:USW00003904,2023,28.61111111111111,60.0,101325.0
GHCND:USW00003904,2024,28.111111111111107,60.0,101325.0
GHCND:USW00003927,2021,25.222222222222225,60.0,101325.0
GHCND:USW00003927,2022,26.22222222222222,60.0,101325.0
GHCND:USW00003927,2023,26.77777777777778,60.0,101325.0
GHCND:USW00003927,2024,26.333333333333336,60.0,101325.0
GHCND:USW00003935,2021,20.611111111111107,60.0,101325.0
GHCND:USW00003935,2022,20.611111111111107,60.0,101325.0
GHCND:USW00003935,2023,21.555555555555557,60.0,101325.0
GHCND:USW00003935,2024,21.944444444444443,60.0,101325.0
GHCND:USW00003937,2021,26.055555555555557,60.0,101325.0
GHCND:USW00003937,2022,25.888888888888886,60.0,101325.0
GHCND:USW00003937,2023,27.055555555555557,60.0,101325.0
GHCND:USW00003937,2024,27.22222222222222,60.0,101325.0
GHCND:USW00003945,2021,19.555555555555557,60.0,101325.0
GHCND:USW00003945,2022,19.66666666666667,60.0,101325.0
GHCND:USW00003945,2023,20.555555555555557,60.0,101325.0
GHCND:USW00003945,2024,20.27777777777778,60.0,101325.0
GHCND:USW00003947,2021,19.444444444444443,60.0,101325.0
GHCND:USW00003947,2022,19.333333333333332,60.0,101325.0
GHCND:USW00003947,2023,19.777777777777775,60.0,101325.0
GHCND:USW00003947,2024,19.88888888888889,60.0,101325.0
GHCND:USW00003950,2021,24.111111111111114,60.0,101325.0
GHCND:USW00003950,2022,25.222222222222225,60.0,101325.0
GHCND:USW00003950,2023,25.444444444444443,60.0,101325.0
GHCND:USW00003950,2024,26.055555555555557,60.0,101325.0
GHCND:USW00003962,2021,23.277777777777782,60.0,101325.0
GHCND:USW00003962,2022,23.72222222222222,60.0,101325.0
GHCND:USW00003962,2023,24.222222222222218,60.0,101325.0
GHCND:USW00003962,2024,24.444444444444443,60.0,101325.0
GHCND:USW00003996,2021,25.944444444444443,60.0,101325.0
GHCND:USW00003996,2022,25.833333333333332,60.0,101325.0
GHCND:USW00003996,2023,26.77777777777778,60.0,101325.0
GHCND:USW00003996,2024,26.38888888888889,60.0,101325.0
GHCND:USW00003999,2021,25.611111111111107,60.0,101325.0
GHCND:USW00003999,2022,26.833333333333332,60.0,101325.0
GHCND:USW00003999,2023,27.5,60.0,101325.0
GHCND:USW00003999,2024,27.277777777777775,60.0,101325.0
GHCND:USW00004725,2021,13.277777777777779,60.0,101325.0
GHCND:USW00004725,2022,13.222222222222221,60.0,101325.0
GHCND:USW00004725,2023,14.5,60.0,101325.0
GHCND:USW00004725,2024,14.38888888888889,60.0,101325.0
GHCND:USW00004751,2021,14.333333333333334,60.0,101325.0
GHCND:USW00004751,2022,14.38888888888889,60.0,101325.0
GHCND:USW00004751,2023,15.222222222222221,60.0,101325.0
GHCND:USW00004751,2024,15.722222222222221,60.0,101325.0
GHCND:USW00004781,2021,17.055555555555557,60.0,101325.0
GHCND:USW00004781,2022,17.166666666666668,60.0,101325.0
GHCND:USW00004781,2023,17.555555555555557,60.0,101325.0
GHCND:USW00004781,2024,17.333333333333332,60.0,101325.0
GHCND:USW00004840,2021,15.555555555555555,60.0,101325.0
GHCND:USW00004840,2022,13.444444444444446,60.0,101325.0
GHCND:USW00004840,2023,15.055555555555555,60.0,101325.0
GHCND:USW00004840,2024,15.38888888888889,60.0,101325.0
GHCND:USW00012815,2021,29.11111111111111,60.0,101325.0
GHCND:USW00012815,2022,29.444444444444443,60.0,101325.0
GHCND:USW00012815,2023,29.666666666666668,60.0,101325.0
GHCND:USW00012815,2024,29.27777777777778,60.0,101325.0
GHCND:USW00012816,2021,27.16666666666667,60.0,101325.0
GHCND:USW00012816,2022,27.666666666666668,60.0,101325.0
GHCND:USW00012816,2023,28.277777777777782,60.0,101325.0
GHCND:USW00012816,2024,27.61111111111111,60.0,101325.0
GHCND:USW00012832,2021,25.38888888888889,60.0,101325.0
GHCND:USW00012832,2022,25.777777777777782,60.0,101325.0
