plant_code,plant_name,year,state,net_gen_mwh,consumption_ML,withdrawal_ML,discharge_ML,facility_age_yrs,cooling_category,cooling_type_eia,n_cooling_systems,primary_fuel,LAT,LON,ashrae_zone,moisture_regime,ba_climate_zone,bws_raw,max_temp_f,min_temp_f,mean_temp_f,T_oa_celsius,RH_oa_pct,P_oa_pa,state_water_intensity_L_per_MWh,estimated_WUE_liters_per_kwh,Simulated_Effectiveness,Simulated_WUE_Peak,Simulated_WUE_Mean,Simulated_WUE_Blended_10pct,Simulated_WUE_Blended_20pct,capacity_mw
56963,West Deptford Energy Station,2022,NJ,1898033.0,1756.914772,4062.74049283,2305.833291,8,Closed,RI,2,NG,39.8414,-75.2214,4A,A,Mixed-Humid,0.355848805,67.0,49.3,58.1,19.444444444444443,60.0,101325.0,446.9062787,0.925650277,3.2303601450475057,3.3726798415202914,3.226835335081629,3.241419785725495,3.2560042363693618,754.6
56963,West Deptford Energy Station,2021,NJ,1485949.0,1186.2301462900002,3734.375102380001,2548.1373852700003,7,Closed,RI,2,NG,39.8414,-75.2214,4A,A,Mixed-Humid,0.355848805,66.5,49.8,58.2,19.166666666666668,60.0,101325.0,498.99284424211896,0.798298021,3.225766223612643,3.3697357471305223,3.2271513248695607,3.2414097670956568,3.2556682093217533,754.6
1122,Ames Electric Services Power Plant,2023,IA,329464.998,690.2430156,711.3656034300001,0.0,55,Closed,RI,2,NG,42.0258,-93.6089,5A,A,Cold,0.1383025,63.0,40.2,51.6,17.22222222222222,60.0,101325.0,313.8059884881969,2.095042022,3.358335295420741,3.5218118277446377,3.371729319691881,3.386737570497157,3.4017458213024327,108.8
1122,Ames Electric Services Power Plant,2024,IA,305566.002,690.2354448100001,711.3580326,0.0,56,Closed,RI,2,NG,42.0258,-93.6089,5A,A,Cold,0.1383025,64.0,41.2,52.6,17.77777777777778,60.0,101325.0,263.1998697098873,2.258875138,3.367483683055956,3.527571306243141,3.374771672178467,3.3900516355849346,3.4053315989914017,108.8
1122,Ames Electric Services Power Plant,2021,IA,257445.998,664.1236866300001,703.1096242,38.98593759,53,Closed,RI,2,NG,42.0258,-93.6089,5A,A,Cold,0.1383025,61.8,39.5,50.7,16.555555555555557,60.0,101325.0,297.7589300870434,2.579662111,3.3475130983600643,3.515062467553136,3.3690272849335456,3.383630803195505,3.398234321457464,108.8
1122,Ames Electric Services Power Plant,2022,IA,322424.002,691.4164927,714.0381029,22.62161016,54,Closed,RI,2,NG,42.0258,-93.6089,5A,A,Cold,0.1383025,59.8,36.9,48.3,15.444444444444445,60.0,101325.0,278.79820189993904,2.144432451,3.329939371442766,3.5041880092967053,3.361983085066107,3.376203577489167,3.3904240699122266,108.8
58079,Newark Energy Center,2024,NJ,3122664.0,2527.378197,3514.227013,986.8488162,9,Closed,RI,1,NG,40.707222,-74.125833,4A,A,Mixed-Humid,0.355848805,67.1,50.3,58.7,19.5,60.0,101325.0,530.8169315,0.80936604,3.231312949794105,3.3732726820105507,3.2287384415147056,3.243191866,3.257645289613875,735.0
58079,Newark Energy Center,2022,NJ,4508038.0,2990.723737,4123.999783,1133.276046,7,Closed,RI,1,NG,40.707222,-74.125833,4A,A,Mixed-Humid,0.355848805,65.7,48.0,56.9,18.72222222222222,60.0,101325.0,446.9062787,0.663420259,3.218432147329953,3.3650937507072287,3.223080139507895,3.2372815006278284,3.251482861747762,735.0
58079,Newark Energy Center,2021,NJ,4273117.0,2276.6212822,3196.778745,920.1461066,6,Closed,RI,1,NG,40.707222,-74.125833,4A,A,Mixed-Humid,0.355848805,66.4,49.5,58.0,19.111111111111114,60.0,101325.0,498.99284424211896,0.532777661,3.2248209087833293,3.369150916321656,3.226519820170316,3.24078293,3.255046039400584,735.0
58079,Newark Energy Center,2023,NJ,3681773.0,2537.822143,3481.6043496300003,943.78599202,8,Closed,RI,1,NG,40.707222,-74.125833,4A,A,Mixed-Humid,0.355848805,67.2,50.2,58.7,19.55555555555556,60.0,101325.0,510.4006557529431,0.689293485,3.23227362757104,3.373866874325417,3.2287384415147056,3.243251284795777,3.257764128076848,735.0
