plant_code,plant_name,year,state,net_gen_mwh,consumption_ML,withdrawal_ML,discharge_ML,facility_age_yrs,cooling_category,cooling_type_eia,n_cooling_systems,primary_fuel,LAT,LON,ashrae_zone,moisture_regime,ba_climate_zone,bws_raw,max_temp_f,min_temp_f,mean_temp_f,state_water_intensity_L_per_MWh,capacity_mw
1416,Arsenal Hill,2023,LA,177828.0,627.22350995,27634.99959318,203.9200367,63,Closed,RC,1,NG,32.51947,-93.760125,3A,A,Hot-Humid,0.156628614,79.1,58.9,69.0,1027.9334361770352,749.0
1416,Arsenal Hill,2022,LA,85328.0,295.0348554,16760.194251570003,131.4672893,62,Closed,RC,1,NG,32.51947,-93.760125,3A,A,Hot-Humid,0.156628614,78.3,56.8,67.5,922.1581557052341,749.0
56467,Russell City Energy Center,2022,CA,1037388.0,616.84391573,616.84391573,0.0,9,Closed,RI,1,NG,37.63466,-122.13381,3C,C,Marine,1.509648074,68.6,50.1,59.3,175.26246227243382,655.0
56467,Russell City Energy Center,2023,CA,1788403.0,890.72968546,890.72968546,0.0,10,Closed,RI,1,NG,37.63466,-122.13381,3C,C,Marine,1.509648074,68.0,51.0,59.5,196.1989634429307,655.0
56467,Russell City Energy Center,2021,CA,351315.0,215.93871345000002,215.93871345000002,0.0,8,Closed,RI,1,NG,37.63466,-122.13381,3C,C,Marine,1.509648074,67.9,50.5,59.2,180.6069952463169,655.0
56467,Russell City Energy Center,2024,CA,1359011.0,835.3642788000001,835.3642788000001,0.0,11,Closed,RI,1,NG,37.63466,-122.13381,3C,C,Marine,1.509648074,71.0,53.1,62.1,177.1685916233332,655.0
3648,Gadsby,2023,UT,237249.0,280.74114724000003,935.42780674,707.0691630800001,72,Closed,RI,3,NG,40.7686,-111.9289,5B,B,Cold,0.40738603,65.3,45.6,55.5,1139.7817082071501,484.6
3648,Gadsby,2024,UT,345311.0,616.73413884,1306.6251113399999,689.87961627,73,Closed,RI,3,NG,40.7686,-111.9289,5B,B,Cold,0.40738603,68.0,46.7,57.4,1188.126834298402,484.6
3648,Gadsby,2022,UT,118821.0,558.7643701000001,1034.79860465,478.1351371,71,Closed,RI,3,NG,40.7686,-111.9289,5B,B,Cold,0.40738603,66.4,45.1,55.8,1198.507395690657,484.6
3648,Gadsby,2021,UT,83008.0,406.71959204,614.73922777,208.01963573000003,70,Closed,RI,3,NG,40.7686,-111.9289,5B,B,Cold,0.40738603,66.9,45.4,56.2,1221.901425953436,484.6
56963,West Deptford Energy Station,2023,NJ,2167830.0,2023.3773532,4495.893602900001,2472.5919579,9,Closed,RI,2,NG,39.8414,-75.2214,4A,A,Mixed-Humid,0.355848805,67.2,49.8,58.5,510.40065575294307,754.6
56963,West Deptford Energy Station,2024,NJ,1191426.0,1268.91107151,3868.21205834,2599.30855765,10,Closed,RI,2,NG,39.8414,-75.2214,4A,A,Mixed-Humid,0.355848805,67.5,50.3,58.9,530.816931471863,754.6
56963,West Deptford Energy Station,2022,NJ,1898033.0,1756.91477248,4062.7404928299998,2305.83329117,8,Closed,RI,2,NG,39.8414,-75.2214,4A,A,Mixed-Humid,0.355848805,67.0,49.3,58.1,446.906278716345,754.6
